full breakdown is:
Prottick B8-AE-ED-34-96-C0 =167,000 bm
Perpetuaa 4C-1D-96-A7-47-1B =165,686 bm
Yamaha101 38-D5-47-DF-6E-06 =164,157 bm
It 00-0F-02-4C-93-8F =163,323 bm
Oda2 F8-B1-56-B3-93-2B =162,650 bm
Obvie 3A-6A-5F-65-BC-93 =157,500 bm
Meme invalid =155,837 bm
SLAT 84-3A-4B-9D-F9-44 =155,000 bm
Mud 28-B2-BD-84-E6-2B =152,111 bm
Fourtwenty C0-4A-00-1A-CC-87 =150,542 bm
1985 invalid =150,456 bm
Tanel 3C-7C-3F-C3-28-EE =150,000 bm
Pappa47 invalid =150,000 bm
Imlucky423 3A-6A-5F-65-BC-93 =150,000 bm
P00 P00 90-B1-1C-95-1D-16 =146,815 bm
L I T 6C-4B-90-0F-7A-EA =146,637 bm
Justanoob 18-C0-4D-37-00-7A =145,004 bm
Priest 04-D4-C4-59-1D-D1 =143,325 bm
I Pusk Nx I 28-39-26-BC-C2-07 =139,252 bm
Chrisydon 70-66-55-81-A6-EF =139,109 bm
MrNoodle DC-53-60-4C-26-88 =137,944 bm
Whitelieslv F0-77-C3-06-5C-CF =137,518 bm
Alex 34-7D-F6-BE-20-67 =137,095 bm
Burk152 24-4B-FE-79-BA-DD =132,500 bm
Warriorking 78-92-9C-BD-1F-FE =132,246 bm
Armadya 02-50-54-CD-C0-B9 =130,000 bm
1dontpvp BC-AE-C5-19-EF-80 =130,000 bm
Kingwarrior 78-92-9C-BD-1F-FE =128,546 bm
Epic A8-5E-45-70-4F-AE =125,778 bm
Iron Astro 4C-CC-6A-FF-AD-19 =125,752 bm
D12 A8-93-4A-62-CA-91 =123,500 bm
Makor 1C-BF-CE-4B-36-91 =121,030 bm
Immortalqt C0-C1-C0-5F-7D-66 =120,000 bm
Blicky 4C-ED-FB-C6-F7-5A =119,446 bm
Kse 34-97-F6-64-AF-A5 =118,500 bm
Luffy A8-54-B2-0B-D6-98 =118,148 bm
Bbbb B0-7D-64-D6-EF-AC =117,690 bm
Xkingkoer 1C-BF-CE-F4-18-EE =116,906 bm
1337 Bwuk B4-2E-99-EF-6A-7A =116,762 bm
WisePoi F8-89-D2-ED-B3-DB =116,501 bm
Nixon 00-E0-4C-46-32-EE =115,984 bm
Diggad 34-C9-3D-B7-5D-D6 =115,000 bm
Limbo D0-37-45-7E-34-68 =115,000 bm
Paris 94-08-53-4C-DD-AD =113,748 bm
Lagg 2A-3C-5F-59-C2-A0 =113,522 bm
FOOLS 46-66-03-11-47-B3 =112,500 bm
Itsdank Alt 70-CD-0D-B4-85-FC =112,071 bm
Imsoblacc123 50-EB-71-0F-8E-76 =110,302 bm
Palermo A4-63-A1-59-04-7E =110,000 bm
Youtoob C0-C1-C0-5F-7D-66 =110,000 bm
Thobeq F0-2F-74-15-2E-BF =107,500 bm
Iron Ace 0C-54-15-FE-75-B3 =105,272 bm
Garglas 3C-7C-3F-BD-A2-14 =105,000 bm
Ban071 10-27-F5-65-65-DB =105,000 bm
READYF0RWAR 00-21-70-01-DC-5F =100,019 bm
Lordofshadow 0A-00-27-00-00-04 =100,000 bm
Rng Prince 0A-00-27-00-00-10 =100,000 bm
Gadd E0-D4-64-EF-EF-2F =100,000 bm
Psykfall 98-EE-CB-E0-1D-15 =100,000 bm
Tehkid B6-C3-97-FE-6B-76 =94,647 bm
Grinch 00-D8-61-E1-71-16 =94,388 bm
Dodidle1 E0-D5-5E-A3-88-54 =92,675 bm
Davis EC-2E-98-93-EB-5B =92,145 bm
ToXiQQ 1C-BF-C0-37-03-67 =89,893 bm
666 C8-D7-19-C7-C5-53 =89,325 bm
Frailty 64-00-6A-78-65-42 =88,017 bm
Str Pk 1 90-2B-34-F0-E2-7E =85,615 bm
Yungwaitrose 30-35-AD-BB-40-00 =85,000 bm
Iron Fap C4-65-16-36-17-67 =84,059 bm
Yohan 3A-6A-5F-65-BC-93 =83,500 bm
TEXOWN 0A-00-27-00-00-04 =82,813 bm
Wheelieboi55 4C-CC-6A-8E-4F-56 =82,500 bm
L7 9C-30-5B-F8-FD-CD =79,458 bm
99 All Stars 78-AC-C0-C4-34-A6 =79,000 bm
Slay Parade D8-C0-A6-8C-95-75 =78,500 bm
Zyn 2C-F0-5D-9A-56-6C =78,429 bm
Ouch 2A-3C-5F-59-C2-A0 =77,168 bm
Alt Nvm C8-FF-28-5B-4A-51 =76,662 bm
Dropped Yaa 00-45-E2-55-24-C7 =75,575 bm
DOWNY 84-3A-4B-9D-F9-44 =75,000 bm
Godly Rs 98-48-27-D2-23-5C =75,000 bm
MAIN BRO 4C-ED-FB-CA-CE-03 =75,000 bm
DaBabyBeGr8 10-C3-7B-6D-C8-4B =74,282 bm
Pgag Str 0A-00-27-00-00-11 =70,665 bm
MuchLove 2E-E6-8B-B0-8C-81 =70,000 bm
Fisty D8-5E-D3-05-A2-7D =68,488 bm
Layla 1C-BF-C0-37-03-67 =68,000 bm
Ahyes 20-16-D8-26-02-82 =67,986 bm
Hibashi 38-6B-1C-88-6D-0C =67,500 bm
DumbleWhore 90-CC-DF-F9-B5-CD =65,784 bm
Kossov 70-85-C2-F4-0F-42 =64,534 bm
Lume A8-A1-59-52-4A-73 =63,902 bm
Demoniac 98-48-27-78-29-73 =62,500 bm
T H E One 9C-FC-E8-7D-BF-31 =61,000 bm
L3g3nd 24-41-8C-B6-CC-18 =60,930 bm
Speedarrow 30-9C-23-B3-C5-73 =60,479 bm
Thiagofrom 02-27-68-62-1C-7E =60,189 bm
Duke D4-5D-64-D4-58-79 =60,000 bm
Rng Boss 5C-CD-5B-EA-F8-1C =60,000 bm
HOOYAA 48-5B-39-53-95-3A =58,500 bm
Momo D0-37-45-7E-34-68 =58,393 bm
Nullity 3C-58-C2-67-B3-C1 =57,756 bm
Can Can 28-B2-BD-84-E6-2B =57,269 bm
Tony66666 80-C5-F2-CB-D6-07 =56,250 bm
Amaretto 94-53-30-91-05-09 =55,996 bm
Market Maker 1C-BF-C0-37-03-67 =55,000 bm
Hc Pabl 80-2B-F9-32-9A-67 =52,713 bm
Wifii 8C-70-5A-51-55-BC =52,652 bm
Pvp Jake 94-B8-6D-CA-5D-91 =50,851 bm
Platinum D4-5D-64-69-C8-2C =50,450 bm
Serenity 80-FA-5B-6B-EC-3F =50,000 bm
Esketit 18-C0-4D-08-CF-8F =50,000 bm
Daniel 18-C0-4D-08-CF-8F =50,000 bm
Rollo D0-37-45-1A-AB-F5 =50,000 bm
Curtius 00-D8-61-53-9F-AF =50,000 bm
Aapie A8-A1-59-27-CA-4A =50,000 bm
Password 18-C0-4D-08-CF-8F =50,000 bm
Kbd 0A-E0-AF-CD-0D-51 =50,000 bm
Phunksy 2C-4D-54-D1-19-C6 =50,000 bm
Stress invalid =50,000 bm
Fat Loser D8-3B-BF-2B-75-A0 =50,000 bm
S33msf1n3 D8-BB-C1-4D-62-F1 =50,000 bm
436x invalid =50,000 bm
Four Twenty 28-B2-BD-84-E6-2B =49,382 bm
Bunny Heart 28-39-26-10-46-35 =48,182 bm
Mizz D8-CB-8A-A1-18-FD =47,579 bm
753456159258 E0-D5-5E-A3-88-54 =46,675 bm
Dark Beast 00-19-66-B0-83-43 =45,981 bm
Smokin Dope 80-2B-F9-84-A0-FB =44,104 bm
Encore Alt 10-63-C8-52-B8-03 =43,440 bm
Master Yoda 14-F6-D8-B4-68-01 =43,422 bm
SUS RNG 0A-00-27-00-00-10 =41,837 bm
Soumynona 94-53-30-91-05-09 =41,793 bm
E4st3r 54-27-1E-7A-5A-21 =40,942 bm
Rw 84-3A-4B-9D-F9-44 =40,850 bm
Abner 28-CD-C4-94-FE-F5 =40,000 bm
Buck 74-D8-3E-40-3D-6E =40,000 bm
SLAYING 0A-00-27-00-00-10 =40,000 bm
Fpk Kio 50-3E-AA-A7-93-F4 =40,000 bm
VVS 1C-BF-C0-37-03-67 =39,655 bm
Matheus 9C-30-5B-F8-FD-CD =38,819 bm
Dodidle E0-D5-5E-A3-88-54 =37,961 bm
Krishuks E2-0A-30-3D-D1-7A =37,857 bm
